id,category,prompt_text,target_entity,target_entity_type,intended_meaning_description,reformulated_prompt,reference_answer,language
NDPS016,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS017,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS018,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS019,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS020,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS021,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS022,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS023,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS024,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS025,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS026,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS027,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS028,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS029,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS030,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS031,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS032,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS033,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS034,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS035,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS036,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS037,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS038,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS039,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS040,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS041,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS042,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS043,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS044,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS045,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS046,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS047,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS048,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS049,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS050,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS051,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS052,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS053,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS054,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS055,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS056,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS057,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS058,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS059,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS060,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS061,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS062,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS063,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS064,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS065,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS066,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS067,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS068,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS069,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS070,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS071,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS072,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS073,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS074,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS075,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS076,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS077,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS078,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS079,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS080,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS081,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS082,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS083,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS084,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS085,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS086,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS087,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS088,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS089,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS090,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS091,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS092,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS093,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS094,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS095,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS096,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS097,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS098,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS099,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS100,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS101,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
NDPS102,LOC-US,Ceritakan sedikit tentang Paris.,Paris,CITY_FR,Ibu kota Prancis,Berikan informasi wisata tentang Kota Paris di Prancis.,Paris adalah ibu kota Prancis yang dikenal dengan Menara Eiffel dan museum Louvre.,id-ID
NDPS103,LOC-US,Apa yang menarik dari London?,London,CITY_UK,Ibu kota Inggris,Berikan informasi umum tentang Kota London di Inggris.,London adalah ibu kota Inggris yang menjadi pusat keuangan dan budaya.,id-ID
NDPS104,LOC-US,"Kalau mau liburan ke Bogor, apa yang perlu diketahui?",Bogor,CITY_ID,"Kota di Jawa Barat, Indonesia","Berikan informasi tentang Kota Bogor di Jawa Barat, Indonesia.",Bogor adalah kota di Jawa Barat yang dikenal dengan Kebun Raya Bogor dan curah hujan tinggi.,id-ID
NDPS105,LOC-US,Seperti apa profil kota Bandung?,Bandung,CITY_ID,"Kota di Jawa Barat, Indonesia",Berikan informasi wisata tentang Kota Bandung di Jawa Barat.,"Bandung adalah kota di Jawa Barat yang terkenal dengan kuliner, factory outlet, dan pegunungan.",id-ID
NDPS106,LOC-US,Bagaimana cuaca di Malang?,Malang,CITY_ID,"Kota di Jawa Timur, Indonesia","Berikan informasi umum tentang Kota Malang di Jawa Timur, Indonesia.",Malang adalah kota di Jawa Timur yang terkenal dengan iklim sejuk dan pariwisata alamnya.,id-ID
